100,opt_200,0.1471,0.0028,0.1396,0.0028,1995.5985,37.9685,300.09,5.7095,790.225,14.2739,12.0,0.0,2.0,0.0,10.0,0.0
200,opt_200,0.2667,0.006,0.2582,0.0057,3617.467,81.0492,543.98,12.1878,1394.55,32.0015,13.6,0.4899,3.6,0.4899,10.0,0.0
300,opt_200,0.2206,0.0383,0.2124,0.0381,2992.6995,519.1575,450.03,78.0688,1149.075,197.0774,13.1,0.3,3.1,0.3,10.0,0.0
400,opt_200,0.1964,0.0007,0.1883,0.0007,2664.921,9.6147,400.74,1.4458,1021.85,3.6146,13.0,0.0,3.0,0.0,10.0,0.0
500,opt_200,0.2451,0.0009,0.2364,0.0009,3325.399,12.6217,500.06,1.898,1270.15,4.745,14.0,0.0,4.0,0.0,10.0,0.0
