100,opt_200,0.1594,0.003,0.1519,0.003,1995.5985,37.9685,1065.3195,20.2689,790.225,14.2739,12.0,0.0,2.0,0.0,10.0,0.0
200,opt_200,0.3113,0.0014,0.3025,0.0014,3872.659,18.4899,2235.713,45.3513,1531.75,10.0989,14.0,0.0,4.0,0.0,10.0,0.0
300,opt_200,0.453,0.0022,0.4437,0.0022,5576.1815,37.0079,3615.1405,89.0159,2284.775,17.4092,15.0,0.0,5.0,0.0,10.0,0.0
400,opt_200,0.5991,0.0021,0.5885,0.0021,7353.163,26.2947,4909.481,18.7642,3037.55,10.8437,17.0,0.0,7.0,0.0,10.0,0.0
500,opt_200,0.7232,0.0027,0.7119,0.0027,8777.017,32.8605,6524.819,25.7092,3774.45,14.235,18.0,0.0,8.0,0.0,10.0,0.0
